task,task_name,step,n,accuracy,correct,seconds,peak_mem_gb,source
mmlu_pro,MMLU-Pro,18,100,0.430000,43,254.800201,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,20,100,0.430000,43,281.999683,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,22,100,0.430000,43,310.009910,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,24,100,0.430000,43,338.139010,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps24_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,32,100,0.440000,44,425.099910,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps32_9task_limit100_seed23.json
mmlu_pro,MMLU-Pro,40,100,0.440000,44,595.279417,17.181026,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps40_9task_limit100_seed23.json
pubmedqa,PubMedQA,2,100,0.260000,26,34.333902,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps2_9task_limit100_seed23.json
pubmedqa,PubMedQA,4,100,0.200000,20,64.419368,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps4_9task_limit100_seed23.json
pubmedqa,PubMedQA,6,100,0.330000,33,95.645487,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps6_9task_limit100_seed23.json
pubmedqa,PubMedQA,8,100,0.530000,53,129.902079,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps8_9task_limit100_seed23.json
pubmedqa,PubMedQA,10,100,0.520000,52,163.492552,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps10_9task_limit100_seed23.json
pubmedqa,PubMedQA,12,100,0.570000,57,197.156524,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps12_9task_limit100_seed23.json
pubmedqa,PubMedQA,14,100,0.570000,57,232.708374,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps14_9task_limit100_seed23.json
pubmedqa,PubMedQA,16,100,0.570000,57,264.622883,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps16_9task_limit100_seed23.json
pubmedqa,PubMedQA,18,100,0.590000,59,306.476288,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps18_9task_limit100_seed23.json
pubmedqa,PubMedQA,20,100,0.620000,62,331.956413,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps20_9task_limit100_seed23.json
pubmedqa,PubMedQA,22,100,0.620000,62,373.390316,16.963928,results/domain_shift/task_aware/solid_v2/step_sweep_limit100_2to40/raw/llada8b_fixed_steps22_9task_limit100_seed23.json
